Country,ISO3,Year,consumption_gdp
Ethiopia,ETH,2002,
Ethiopia,ETH,2003,
Ethiopia,ETH,2004,
Ethiopia,ETH,2005,
Ethiopia,ETH,2006,
Ethiopia,ETH,2007,
Ethiopia,ETH,2008,
Ethiopia,ETH,2009,
Ethiopia,ETH,2010,
Ethiopia,ETH,2011,72.4333164755159
Ethiopia,ETH,2012,72.4631571005796
Ethiopia,ETH,2013,73.4670479688865
Ethiopia,ETH,2014,70.2145250716323
Ethiopia,ETH,2015,71.2444353893903
Ethiopia,ETH,2016,66.4668703530458
Ethiopia,ETH,2017,66.530735175847
Ethiopia,ETH,2018,65.6642066504524
Ethiopia,ETH,2019,68.6823121128637
Ethiopia,ETH,2020,70.0432684287148
Ethiopia,ETH,2021,72.2205175553049
Ethiopia,ETH,2022,77.4036282191939
Germany,DEU,2000,55.7554727045632
Germany,DEU,2001,55.8727960902379
Germany,DEU,2002,55.1089792026482
Germany,DEU,2003,55.7266791918994
Germany,DEU,2004,55.3957628301294
Germany,DEU,2005,55.6293346977912
Germany,DEU,2006,54.7421048726805
Germany,DEU,2007,53.0876556710277
Germany,DEU,2008,53.3203330141176
Germany,DEU,2009,55.3290552213141
Germany,DEU,2010,54.0204353111167
Germany,DEU,2011,53.31292920544
Germany,DEU,2012,53.8271948806948
Germany,DEU,2013,53.4926480845958
Germany,DEU,2014,52.3889426732816
Germany,DEU,2015,51.9491517184386
Germany,DEU,2016,51.7415232892485
Germany,DEU,2017,51.1080390620544
Germany,DEU,2018,51.1024064958192
Germany,DEU,2019,51.0493425519395
Germany,DEU,2020,49.532006423896
Germany,DEU,2021,48.5654678685475
Germany,DEU,2022,50.0599921595407
Greece,GRC,2000,69.3919259845378
Greece,GRC,2001,68.2898035661242
Greece,GRC,2002,68.0438398804881
Greece,GRC,2003,66.5560679222693
Greece,GRC,2004,65.650341546977
Greece,GRC,2005,67.6748128123319
Greece,GRC,2006,65.2620682213101
Greece,GRC,2007,65.7971878889616
Greece,GRC,2008,68.2927517038602
Greece,GRC,2009,69.066372801723
Greece,GRC,2010,67.4184073317536
Greece,GRC,2011,69.6702222207762
Greece,GRC,2012,71.1547998139465
Greece,GRC,2013,70.4881152535784
Greece,GRC,2014,69.5329655860989
Greece,GRC,2015,68.6886594094333
Greece,GRC,2016,68.0126932819622
Greece,GRC,2017,68.8100060538919
Greece,GRC,2018,68.8330418045266
Greece,GRC,2019,68.3649191955026
Greece,GRC,2020,69.1479743901376
Greece,GRC,2021,67.0716816185717
Greece,GRC,2022,68.0652905785852
Guatemala,GTM,2000,83.9175170785753
Guatemala,GTM,2001,84.7622504103056
Guatemala,GTM,2002,84.5683172357262
Guatemala,GTM,2003,85.8470164166416
Guatemala,GTM,2004,86.925423004826
Guatemala,GTM,2005,89.1266070996726
Guatemala,GTM,2006,89.197165565155
Guatemala,GTM,2007,88.6963637620669
Guatemala,GTM,2008,90.7400122291722
Guatemala,GTM,2009,87.3295722861624
Guatemala,GTM,2010,87.4902596408252
Guatemala,GTM,2011,86.7321023490213
Guatemala,GTM,2012,87.3195956767526
Guatemala,GTM,2013,85.5583344939829
Guatemala,GTM,2014,85.268005922665
Guatemala,GTM,2015,84.3173741453879
Guatemala,GTM,2016,84.5642376852087
Guatemala,GTM,2017,84.9103984317303
Guatemala,GTM,2018,85.7623468879429
Guatemala,GTM,2019,84.855948902249
Guatemala,GTM,2020,83.4808826612353
Guatemala,GTM,2021,85.9840817274566
Guatemala,GTM,2022,88.4793451193185
India,IND,2000,63.7389811377058
India,IND,2001,64.1468574278813
India,IND,2002,63.0296467564906
India,IND,2003,61.5037576116886
India,IND,2004,58.3515479395448
India,IND,2005,57.3787299354735
India,IND,2006,56.1099454055017
India,IND,2007,55.7605110755195
India,IND,2008,56.6768159816226
India,IND,2009,55.9598884651294
India,IND,2010,54.72485776198
India,IND,2011,56.2072185843836
India,IND,2012,56.4609537893395
India,IND,2013,57.6457660908404
India,IND,2014,58.1277171013104
India,IND,2015,59.007281077807
India,IND,2016,59.2952812328071
India,IND,2017,58.725149676261
India,IND,2018,59.2883228123904
India,IND,2019,60.91128763805
India,IND,2020,61.0981287103106
India,IND,2021,60.9503796335733
India,IND,2022,60.9378523452968
Indonesia,IDN,2000,61.6503710434368
Indonesia,IDN,2001,63.1501613900561
Indonesia,IDN,2002,67.6222370278204
Indonesia,IDN,2003,68.1380199164254
Indonesia,IDN,2004,66.7684818650471
Indonesia,IDN,2005,64.3624901600634
Indonesia,IDN,2006,62.6690567081477
Indonesia,IDN,2007,63.5426895366344
Indonesia,IDN,2008,60.6212527280492
Indonesia,IDN,2009,58.7027563092215
Indonesia,IDN,2010,56.2171757972278
