"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Australia","AUS","Households and NPISHs final consumption expenditure (% of GDP)","NE.CON.PRVT.ZS","57.6381365113759","57.9573257467994","59.0196188655911","58.316435293506","57.3196555456214","56.9371389152367","57.7000369109626","55.9692432213679","56.7325139511794","55.0589241008732","54.0779277082317","54.4348946077824","54.5815749304121","54.4217413993818","53.5062869638686","55.8731896261367","55.7811131507277","56.6935190478665","57.8303619870739","56.6469899707797","55.9102322195314","56.0061695983198","56.0690321846924","59.064271912319","56.8165545899959","54.9164978790079","55.891518926689","56.3537570801003","54.9284926459261","54.0232974910394","54.6835580660386","56.6847726637967","58.4067284067284","57.7245069547463","57.1721561794791","57.3274766762261","57.0795263994676","56.5993910161408","56.9711832190618","57.5636813352053","57.3662162692365","57.9783489444474","57.2399087310925","57.7393077892388","57.3186326871422","56.8734723515898","56.040156665016","55.9667702151378","55.8519670167485","53.9238061867341","55.3088884493246","53.8467557570746","53.5634467841822","54.5922612213461","54.8038463534486","56.0691801633455","56.9948139650187","55.5657964731418","55.284805745788","54.1055677061642","52.288608103396","50.8291215645439","48.9119776649563","50.3387908844084","",
"Austria","AUT","Households and NPISHs final consumption expenditure (% of GDP)","NE.CON.PRVT.ZS","","","","","","","","","","","55.3938165836718","55.5922654268481","54.9507661192359","54.4541098725718","54.2096842908213","56.927303398983","57.4026544883698","58.2865649176203","56.3934375410967","56.0342932687769","56.725989815223","57.7328650751076","57.9188896115022","59.1513789239408","58.0449904077148","57.9548469501558","57.14869528196","57.0363735526043","56.5238961010584","56.201369459308","56.1372165290464","55.636932755043","56.3345454073976","56.2570111370008","55.9221342479867","55.1545223617333","55.8134739527592","55.0379250609079","54.6022329086063","53.8393682178094","54.1709455037966","54.3952563562179","53.9317389670146","54.3931776523442","54.2664724445086","54.1765038530077","53.5936123405458","52.3419326113409","52.1654619573721","53.8122156383773","53.8377941652669","53.7195240977178","53.8082812056158","54.1170506988398","53.8869810416074","53.019440806769","52.5472663085775","52.804631487086","52.2101130103127","51.7439163348153","49.8490947884151","49.6708009735046","51.116574636388","52.1990687770085","",
"Azerbaijan","AZE","Households and NPISHs final consumption expenditure (% of GDP)","NE.CON.PRVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.5920873124147","50.7672155688623","63.838924503641","65.6917197452229","77.5742727515346","84.3471740556753","87.682061040767","74.4672766994902","80.0034877637621","75.7754761463273","64.4115215870795","61.4963503649635","62.9014432989691","59.9622192681732","55.8122904503998","42.1209822319824","37.1029862052043","33.4013857301529","33.4355660085905","42.7566254230861","39.362533851407","37.2585538189778","39.4710258897371","41.9029940531436","45.4376157562345","56.6901434350864","58.7084527647405","57.5863902482022","54.1406132947111","57.5066975024482","60.8858595085846","52.3633308727597","43.3627149411783","53.2113604676214","",
"Burundi","BDI","Households and NPISHs final consumption expenditure (% of GDP)","NE.CON.PRVT.ZS","91.9642955083824","92.2413790045864","92.6229510269897","96.2406023307463","87.2483164027362","89.4746257976027","88.3493133652013","86.9681430677521","87.0817217716781","85.8613230787719","86.629847780744","87.543674882592","87.2352445428193","85.4219444798009","89.1454421743688","91.6000808380615","85.1309352666798","77.3484015244063","80.6872868502175","80.7943803807471","91.3792020334544","86.8185456038122","91.5790097598421","84.5600945776789","85.858289258786","88.0670898689396","89.108812253555","83.6892167606077","87.6209217972678","86.5505425957464","94.5491494651276","93.4096014120001","90.8518833000564","85.7474818532052","93.8219414802788","88.9382167669691","81.7308757506651","81.7339556592765","87.5274862568716","84.3434343434343","92.2779472642574","90.6043089061308","93.6205740009007","89.2833587185961","88.096258182269","90.3963934437084","94.08702954424","91.0135486504852","92.5910150962332","83.925140165977","81.0396206068898","86.1542368348812","84.67522991166","89.0807300567008","85.4999487455075","75.4179085083594","77.5640526915822","76.2948426528167","77.9146862536326","77.3086500008373","74.884419999662","74.9329899999585","74.0107902564473","75.573789721139","",
"Belgium","BEL","Households and NPISHs final consumption expenditure (% of GDP)","NE.CON.PRVT.ZS","","","","","","","","","","","51.1358988929178","51.5692537633537","51.5309687413514","51.9212320139789","51.3106513676788","52.5827778293171","52.4103640199996","53.2938284686754","53.0402559927922","54.1754286950043","54.7107682879993","56.2812533362594","57.0837307866563","57.6041262474897","56.5060416726991","57.2706006094366","56.414327854351","56.086566126389","54.7911779983393","54.1957849707285","54.177396144149","54.7753984130007","54.133773040315","53.6579427925736","53.3117100400584","53.0600871969142","53.4788608366999","52.6640383933173","52.9168554550308","52.0728198372647","52.3121863010792","52.4054901566157","51.536270580068","51.1934557656787","50.2415776311343","50.1883319958611","50.0481775418536","49.6456685007722","50.7242928148413","51.1863778987959","51.4235948226308","51.1646346067833","51.708082979902","52.2303564247093","51.5609878844316","51.4826802843543","51.4852598951005","51.6628507611063","51.8410774686295","51.2398400733849","49.0505786619498","48.9756200901461","49.8402430619388","50.3588841304493","",
"Benin","BEN","Households and NPISHs final consumption expenditure (% of GDP)","NE.CON.PRVT.ZS","84.4125407219683","84.112412932068","85.337940679158","86.555831713014","88.7539065090735","90.0123505720829","92.3438433287988","91.0693897212631","88.3731637493978","88.0666902969428","87.9538998386204","89.7139680289482","88.9085121396774","87.249580782004","88.3330587268469","90.3314275006904","92.7923358853934","92.5425733262087","93.6403894641432","92.4582452663711","97.7064131651206","103.193544235267","84.2211696743441","86.0692978194764","84.942794057667","88.6877588447201","87.2168546181715","87.2097318188564","89.4559725132854","88.4080397834386","75.7277464883007","78.6800851289798","80.8885950919849","79.1402440049578","74.3112522724454","73.194840918339","72.4569048146858","72.601530729685","74.1370755524484","81.9997069461123","82.0485295884758","82.6838935240824","81.6951614701456","80.335026361846","78.8478105083225","81.0515319486747","81.1186445656906","79.0827306084785","79.5199078099479","78.6923598038608","78.4667993617681","78.0316170263095","76.5386564839949","74.1549571965266","72.9688067811163","75.1721642689075","73.2204938310377","72.6260008793287","70.449714833238","68.4484141092153","68.0550868669615","67.290665629425","61.04346736873","58.9882948077733","",
"Burkina Faso","BFA","Households and NPISHs final consumption expenditure (% of GDP)","NE.CON.PRVT.ZS","88.1382008908991","87.0986618882172","86.9595886520168","86.9458611977918","85.306989169874","86.2378544749403","87.3559572670691","90.0034685207192","87.8801694405609","88.2623059521094","86.4527686537025","85.057872206756","82.7636616020181","80.0360437748845","74.0287227322999","78.3748136419892","77.5472015464663","84.842439005262","83.9906321313468","85.9390144899792","90.2120194898688","91.0508018769905","83.5092275915935","82.0134250640439","82.5022129457783","80.8488945289616","80.8516752200479","77.5600806263329","77.323426798722","74.3487923376357","73.5188766999483","69.964427216188","69.6450965881789","70.9223869999249","57.5948976503618","63.3423313010006","67.718782422456","64.6663155225776","68.8516605613475","89.1919391942859","88.7536194322106","85.3985062506213","85.5402551107463","82.8812309012628","83.963618481604","83.132053758901","81.9656897006577","78.1414382593744","79.6846075823808","77.5083850710677","71.5935788138145","68.6961148797298","69.1348624816742","71.5163791030436","70.2225263802843","71.5231102662912","68.7585986446242","66.5628491891213","64.2792990456353","61.6354911396221","60.2403896799966","61.0703297253031","63.9858371606471","64.5788024966344","",
"Bangladesh","BGD","Households and NPISHs final consumption expenditure (% of GDP)","NE.CON.PRVT.ZS","86.2247230335863","86.8352922913092","81.7578446122173","84.8756055455534","83.7577591192366","","","","","","","","","","","","","","","","","80.7697654738878","80.7867495939383","83.6420955517686","88.8782950439832","81.4549779969926","80.587580619729","81.7583794784922","82.0559169867292","80.5627924445796","80.0404603729271","81.2904893597465","81.684367438001","82.746877697313","82.0129894265772","82.2433238502068","78.8521134250216","77.9569929010812","76.2386093679149","76.2326634048507","75.0081004560836","74.5228378132541","74.1384127040694","74.6860790732206","73.6377036948139","73.7640610844816","73.1233082071871","73.8931599871735","75.6323110754527","74.5738412555998","74.1146503135208","74.2804696467287","73.7368948512655","72.8477739817049","72.5725369181701","72.437289480297","66.8644422199967","66.9119168068661","67.5896517648341","66.8774290144586","66.9511902559287","68.7754335127158","69.0766062753121","68.5753162931573","",
"Bulgaria","BGR","Households and NPISHs final consumption expenditure (% of GDP)","NE.CON.PRVT.ZS","","","","","","","","","","","","","","","","","","","","","55.3348067155209","48.6612984398591","49.793540826526","50.9216960817854","49.781345020192","51.6341313011385","50.6120765284483","52.0602880269796","49.5891261204169","52.0940291870477","59.8339744352355","54.1090641120118","65.6150398406375","73.4901304784209","74.0353881278539","57.5067199612441","73.820365326575","65.4408121915746","56.1086495794148","65.1251834050129","66.4767351896257","68.5992062139716","68.2678288512932","67.9952304049213","68.3553554151463","68.7618414011541","66.8884296493932","68.5279295424825","65.6590646520218","62.9773672882881","64.1640253414988","62.633518327148","65.6007258125291","62.4701077789796","62.8058444101281","62.0747366798589","60.5323571961446","60.251810799351","59.7770580137188","59.196556910277","58.0345883300989","57.9346532985073","57.9202250453348","57.7273259895719","",
"Bahrain","BHR","Households and NPISHs final consumption expenditure (% of GDP)","NE.CON.PRVT.ZS","","","","","","","","","","","","","","","","","","","","","28.120658360741","28.8477910845047","30.3397944342751","30.1587444087091","30.0760254277042","26.0681277979115","28.3678060819722","30.954288519564","33.0596233010136","34.9981192978949","33.7761590172011","51.5760462174881","51.9633480918103","49.4942536469852","45.8552542664397","46.6362556001094","47.1796710969737","47.0510690874513","50.2123443162009","48.6945934729179","44.6639179493199","46.8348617057525","45.0997460606128","42.9136458275798","47.5685919190367","39.7334217153212","34.7271188121516","31.6130753639933","34.4865681213989","40.9096126621348","39.5049136575372","37.5923726342293","36.5614266315201","39.2229018593961","38.8837176573888","43.4405450757068","42.7651986085471","40.0053327576433","38.9317199863418","38.6105996843766","40.7009302446391","37.9501846844735","36.7607252349185","39.0611698121266","",
"Bahamas, The","BHS","Households and NPISHs final consumption expenditure (% of GDP)","NE.CON.PRVT.ZS","","","","","","","","","","","","","","","","","","55.6521739130435","58.0850552618933","65.8887466319752","61.7014903018048","62.3133543638275","59.0635493885827","57.3811172668513","65.4353044926755","62.8517241716605","63.5267947421638","63.6588085356967","","62.5251469627694","62.8256475047378","65.9268568636779","64.5972981666131","66.6830530401035","65.3899969315741","68.0638670166229","69.6381269049598","59.3554377830698","60.533686900173","58.0137352662135","57.2911185208389","60.541030533204","56.7504695332592","57.9069659947081","58.4840463419725","59.4294544641223","61.5318793183998","60.4152814846765","61.2549876496295","60.591306717318","61.6823300078449","62.9693807128778","63.5666579605239","64.9714307701187","65.4641382892447","64.5713208646407","65.1522762684013","67.3825459478454","66.8526768021053","61.2836311673146","65.4787009700548","70.7878510673856","66.0348345056484","67.4568469505178","",
