Country,ISO3,Year,Dependency_Ratio,Health_Expenditure,Education_perGDP,RD_Expenditure,Contribution_revenue,GDP_percapita
Ireland,IRL,2005,46.2404537484022,7.64242792,4.52216,1.19196999073029,15.2702745784892,50933.0216095589
Ireland,IRL,2006,45.4699838177237,7.51646996,4.54551,1.19886994361877,14.6840595368491,54329.1618599624
Ireland,IRL,2007,45.0913998816561,7.80773735,4.71224,1.23407995700836,15.6767205795493,61396.417461176
Ireland,IRL,2008,45.5578463161533,9.12564754,5.44415,1.39126002788544,17.5881862986999,61353.1065629523
Ireland,IRL,2009,46.6772507032488,10.52275753,6.13509,1.61371004581451,18.959347284689,52133.0909237885
Ireland,IRL,2010,48.0748648862785,10.52404499,6.03804,1.5947699546814,17.7769648452238,48679.4026820361
Ireland,IRL,2011,49.4173482756641,10.5987215,5.85826,1.55153000354767,19.4071189723896,52692.7813135606
Ireland,IRL,2012,50.5369478087777,10.6218853,5.76573,1.5602799654007,18.3805250062596,49411.7387476787
Ireland,IRL,2013,51.3979987426655,10.28716469,5.33461,1.56907999515533,18.1054139726462,52619.2123745817
Ireland,IRL,2014,52.0464573784336,9.49471951,4.88139,1.51797997951508,17.88568194666,57278.2590911107
Ireland,IRL,2015,52.5046737823192,7.32119417,3.75829,1.1797399520874,17.4078497983857,64311.8234684057
Ireland,IRL,2016,52.7774618565246,7.4818964,3.71973,1.17716002464294,17.9289338551666,64292.659966313
Ireland,IRL,2017,52.9415900509117,7.10795546,3.50686,1.24865996837616,18.1774320210316,72499.3268743015
Ireland,IRL,2018,53.0287315034168,6.47943211,,1.10697996616364,18.0852321918804,81248.3135388
Ireland,IRL,2019,53.037163393321,6.71554708,,1.16068005561829,18.4270410289575,82508.4659883582
Ireland,IRL,2020,53.0535763132357,7.06342745,,1.14550995826721,18.6267582886248,87567.1148972037
"Iran, Islamic Rep.",IRN,2001,56.3422902016049,5.16087341,4.07168,0.502179980278015,16.623333379141,1881.02266634748
"Iran, Islamic Rep.",IRN,2002,52.8371003545029,4.65182209,4.48488,0.495579987764359,12.0498979764719,1891.25756092031
"Iran, Islamic Rep.",IRN,2003,49.8293700066519,4.95589161,4.36322,0.594839990139008,13.4312076587915,2208.99636553529
