Country,ISO3,Year,Dependency_Ratio,Health_Expenditure,Education_perGDP,RD_Expenditure,Contribution_revenue,GDP_percapita
Czechia,CZE,2009,41.5983684904551,7.24880648,4.17128,1.28656005859375,45.6930004722014,19817.4215836554
Czechia,CZE,2010,42.5753401685329,7.55343866,4.06446,1.32669997215271,45.9789742169066,20160.4355077059
Czechia,CZE,2011,43.8657197049133,7.5335784,4.27214,1.54477000236511,44.8784414918899,22049.1080788682
Czechia,CZE,2012,45.474711089563,7.59409809,4.25086,1.76967000961304,44.8785762930035,20014.0354015165
Czechia,CZE,2013,47.0766511876963,7.49541759,4.09089,1.87924003601074,44.6610391189486,20260.4954999375
Czechia,CZE,2014,48.5926586211395,7.59510136,3.99462,1.95833003520966,45.3492082975328,20038.4163180257
Czechia,CZE,2015,50.0836370757165,7.3351512,5.78885,1.91689002513885,43.9095597606048,17931.5987670768
Czechia,CZE,2016,51.6066775434751,7.3930459,5.58738,1.67002999782562,45.1912064097516,18753.9686718096
Czechia,CZE,2017,53.1389365450804,7.33911419,3.85402,1.76855003833771,45.8454910467466,20913.197632212
Germany,DEU,2006,50.8443822110813,10.17995167,4.29396,2.47232007980347,57.1958199409618,36980.3349948954
Germany,DEU,2007,51.4612503536768,10.05132961,4.3668,2.4604799747467,55.0778681743959,42350.9217211489
Germany,DEU,2008,51.8149987679722,10.25128746,4.43595,2.61512994766235,54.6729764546412,46386.3295924799
Germany,DEU,2009,52.1578637771433,11.23791218,4.90951,2.74266004562378,55.2768289261663,42487.2137101496
Germany,DEU,2010,52.117530215009,11.09592915,4.94368,2.73024010658264,55.5444185808917,42409.9356994694
Germany,DEU,2011,51.7462351755806,10.77844906,4.82487,2.80555009841919,54.3104154023882,47646.582043143
Germany,DEU,2012,51.5805062735217,10.85345554,4.95658,2.88165998458862,54.4081901727543,44735.5882319701
Germany,DEU,2013,51.6197490623175,10.99905777,4.96111,2.8359899520874,54.4392812121512,47220.0102098851
Germany,DEU,2014,51.8321732192251,11.02588272,4.93962,2.87784004211426,54.3522872870074,48971.0824722599
Germany,DEU,2015,52.1224069865761,11.19027996,4.83498,2.9337899684906,54.6848550198451,41911.0109851054
Germany,DEU,2016,52.5820458594372,11.24166584,4.84022,2.94039011001587,55.3206941152788,42961.0356905775
Germany,DEU,2017,53.258253101446,11.32552433,4.90512,3.04710006713867,55.4846271329933,45526.5999576533
Ecuador,ECU,2013,57.0580201827907,6.77866411,5.00464,0.374229997396469,13.8012082416609,6109.29031510341
Ecuador,ECU,2014,56.2912618898864,6.76601839,5.26099,0.438389986753464,15.6660930524356,6405.79979300441
United Kingdom,GBR,2000,53.4314858659264,7.15692902,4.03119,1.60962998867035,17.4457091446353,28280.926786099
United Kingdom,GBR,2001,52.8823327842176,7.45211363,4.11923,1.59545004367828,17.6493484334677,27906.5695029641
United Kingdom,GBR,2002,52.4964301559527,7.87847328,4.63887,1.6138299703598,17.6221505285053,30077.741432188
United Kingdom,GBR,2003,52.357292952779,8.07831287,4.80467,1.58131003379822,18.3730115555601,34442.6875402308
United Kingdom,GBR,2004,52.2157863407455,8.3386755,4.73879,1.53088998794556,18.5345706710177,40366.8886650968
United Kingdom,GBR,2005,51.8275715627106,8.39430904,4.93914,1.55004000663757,18.1336501513245,42104.7884375024
United Kingdom,GBR,2006,51.4008482871775,8.54522514,4.98531,1.57625997066498,18.401817483525,44512.4590296865
United Kingdom,GBR,2007,51.156186206586,8.75711441,4.91482,1.61829996109009,18.0565912232039,50397.6854954706
United Kingdom,GBR,2008,51.1947226586789,9.04033756,4.89331,1.6090099811554,18.100759943751,47396.1202078484
United Kingdom,GBR,2009,51.4406852551869,9.84771252,5.07432,1.66990995407104,19.2416018128272,38744.131693043
United Kingdom,GBR,2010,51.738023164778,9.78937912,5.70324,1.63885998725891,16.0044894107405,39598.957119545
United Kingdom,GBR,2011,52.2814445132043,9.7956152,5.59523,1.64681005477905,18.436244416889,42109.6418795749
United Kingdom,GBR,2013,54.1548136779892,9.97822475,5.5298,1.62095999717712,17.8206704273055,43426.2981405143
United Kingdom,GBR,2014,54.8438613424964,9.90305996,5.599,2.26487994194031,17.9524999836837,47439.6165895125
United Kingdom,GBR,2015,55.4015607117461,9.83625221,5.55616,2.27566003799438,18.1208497142291,44964.3911437292
United Kingdom,GBR,2016,55.9245937420551,9.76546955,5.4267,2.32051992416382,18.3330222836027,40985.2351382417
United Kingdom,GBR,2017,56.4799610873143,9.60016823,5.44209,2.32602000236511,18.5105470106218,40572.1214823783
Greece,GRC,2001,49.2575277803581,7.9878397,3.36458,0.559480011463165,29.7426951591801,12156.9572824221
Greece,GRC,2003,49.81394017461,8.44915581,3.42934,0.546540021896362,33.2994878380194,18020.612039764
Greece,GRC,2004,49.9237390044235,8.0939045,3.66719,0.527300000190735,32.2922837422679,21449.2552764245
Greece,GRC,2005,49.9778663729531,8.56466961,3.96396,0.578960001468658,32.4121897414898,22054.1315756886
Guatemala,GTM,2006,82.9981312024304,6.36362219,2.98401,0.0500999987125397,2.01048019929559,2225.1234753878
Guatemala,GTM,2007,81.2868486815643,6.1918335,3.03874,0.0678199976682663,1.96470921647301,2458.81573919384
Guatemala,GTM,2008,79.5368201134386,6.08129978,3.18454,0.062899999320507,2.10588378004023,2763.05988172926
Guatemala,GTM,2010,75.9881537818837,6.1247797,2.80306,0.0442100018262863,2.86658803767265,2805.25960237322
Guatemala,GTM,2011,74.2499171577809,5.96306896,2.92014,0.0489399991929531,2.83302722732544,3168.98370607705
Guatemala,GTM,2012,72.5972732426122,6.07316971,2.95786,0.0454300008714199,2.78788093443719,3286.61959336267
Guatemala,GTM,2013,71.0381612271972,5.77188921,2.88809,0.0391599982976913,2.91315580839032,3444.15971843874
Guatemala,GTM,2014,69.5871817440447,5.8885684,2.98562,0.0294899996370077,6.17830189612615,3689.14472473545
Guatemala,GTM,2015,68.2484082404697,6.00602007,3.03033,0.0306400004774332,6.28442337741447,3893.50521848131
Guatemala,GTM,2016,66.9557228820458,6.07008219,2.94474,0.0231100004166365,6.71806981926998,4060.13755621218
Guatemala,GTM,2017,65.7208767382211,6.13563824,2.95182,0.0295499991625547,7.03707056904691,4324.99607911366
Guatemala,GTM,2018,64.5800677559675,6.10662699,3.14093,0.0293799992650747,6.80734929875152,4352.94651790253
Guatemala,GTM,2019,63.4502854678952,6.17443275,3.2122,0.0264199990779161,6.87843226424431,4511.99755157656
Indonesia,IDN,2001,55.1131405443784,2.11850214,2.46003,0.0475599989295006,1.98315996435898,732.307093405708
India,IND,2000,66.5658129376285,4.10568476,4.32479,0.756990015506744,0.0501484553479746,442.750218937263
India,IND,2003,63.8360537864219,4.07877731,3.61341,0.719290018081665,0.140772779527015,544.143133545002
India,IND,2004,62.8827039448926,4.02679491,3.35254,0.756900012493134,0.236090039322538,624.258826510066
India,IND,2005,61.9081709086155,3.85508275,3.18875,0.824109971523285,0.182241840686932,710.488080408949
India,IND,2006,60.9024728456723,3.66901541,3.14285,0.804729998111725,0.144436049269913,801.668353659022
India,IND,2009,57.9164697840483,3.54637694,3.27825,0.833140015602112,0.289508533928236,1094.94974598436
India,IND,2010,56.9435299366504,3.33625913,3.37769,0.788489997386932,0.254862907141512,1347.51939071367
India,IND,2011,55.9876762675338,3.24634218,3.79618,0.755020022392273,0.148418032542763,1445.46127486037
India,IND,2012,55.060078071414,3.32935286,3.8675,0.743990004062653,0.240480323613257,1429.32199520032
India,IND,2013,54.1378376565175,3.74944186,3.84467,0.706420004367828,0.190141689411732,1432.84397512195
Ireland,IRL,2000,49.1855936825044,5.8990283,4.13664,1.08382999897003,13.3130002135498,26334.5672050501
Ireland,IRL,2001,48.2896367937699,6.39249372,4.09187,1.05193996429443,14.4402059821849,28282.409882073
Ireland,IRL,2002,47.5612657714796,6.67263031,4.10604,1.05575001239777,14.7608867038963,32705.4345565698
Ireland,IRL,2003,47.1541931452612,7.00761414,4.20554,1.12434995174408,14.6084538188896,41203.5295847568
Ireland,IRL,2004,46.8096917014581,7.21972942,4.4863,1.1777800321579,14.558431955687,47754.2023194244
Ireland,IRL,2005,46.2404537484022,7.64242792,4.52216,1.19196999073029,15.2702745784892,50933.0216095589
Ireland,IRL,2006,45.4699838177237,7.51646996,4.54551,1.19886994361877,14.6840595368491,54329.1618599624
Ireland,IRL,2007,45.0913998816561,7.80773735,4.71224,1.23407995700836,15.6767205795493,61396.417461176
Ireland,IRL,2008,45.5578463161533,9.12564754,5.44415,1.39126002788544,17.5881862986999,61353.1065629523
Ireland,IRL,2009,46.6772507032488,10.52275753,6.13509,1.61371004581451,18.959347284689,52133.0909237885
Ireland,IRL,2010,48.0748648862785,10.52404499,6.03804,1.5947699546814,17.7769648452238,48679.4026820361
Ireland,IRL,2011,49.4173482756641,10.5987215,5.85826,1.55153000354767,19.4071189723896,52692.7813135606
Ireland,IRL,2012,50.5369478087777,10.6218853,5.76573,1.5602799654007,18.3805250062596,49411.7387476787
Ireland,IRL,2013,51.3979987426655,10.28716469,5.33461,1.56907999515533,18.1054139726462,52619.2123745817
Ireland,IRL,2014,52.0464573784336,9.49471951,4.88139,1.51797997951508,17.88568194666,57278.2590911107
Ireland,IRL,2015,52.5046737823192,7.32119417,3.75829,1.1797399520874,17.4078497983857,64311.8234684057
Ireland,IRL,2016,52.7774618565246,7.4818964,3.71973,1.17716002464294,17.9289338551666,64292.659966313
Ireland,IRL,2017,52.9415900509117,7.10795546,3.50686,1.24865996837616,18.1774320210316,72499.3268743015
"Iran, Islamic Rep.",IRN,2001,56.3422902016049,5.16087341,4.07168,0.502179980278015,16.623333379141,1881.02266634748
"Iran, Islamic Rep.",IRN,2002,52.8371003545029,4.65182209,4.48488,0.495579987764359,12.0498979764719,1891.25756092031
"Iran, Islamic Rep.",IRN,2003,49.8293700066519,4.95589161,4.36322,0.594839990139008,13.4312076587915,2208.99636553529
"Iran, Islamic Rep.",IRN,2004,47.0765649654044,5.12801409,4.29663,0.504530012607574,12.9564680349856,2672.42266512669
"Iran, Islamic Rep.",IRN,2005,44.7919748324646,5.29996157,4.05651,0.622839987277985,10.4412212033858,3132.05081925856
"Iran, Islamic Rep.",IRN,2006,42.9687321027924,5.15990877,4.28999,0.559210002422333,12.4184467718275,3618.9160136791
"Iran, Islamic Rep.",IRN,2008,40.7584832601421,5.03990459,3.91376,0.646470010280609,14.9114524732299,5377.41150725587
"Iran, Islamic Rep.",IRN,2009,40.2589386476999,6.11493444,3.84245,0.272579997777939,18.6883106915343,5415.52280554144
Jordan,JOR,2016,60.9582989168769,6.97644138,3.51412,0.695469975471497,0.215005092225868,3986.71677010853
Kazakhstan,KAZ,2015,52.5207605589946,3.04051137,2.78858,0.169510006904602,4.17876864617051,10196.1226255982
Kazakhstan,KAZ,2016,54.0318746567256,3.42235589,2.9781,0.141790002584457,3.9592644066909,7475.56688689424
Kazakhstan,KAZ,2017,55.4148033056512,3.05244446,2.75082,0.126670002937317,3.10454486816845,8943.08416791984
Kazakhstan,KAZ,2018,56.5235626212407,2.8178606,2.61595,0.116829998791218,3.25949336445695,9472.48527327758
Kyrgyz Republic,KGZ,2014,56.9069819836574,7.35766459,5.5316,0.125359997153282,17.3525084260351,1264.52679529608
